file,propeller,volume
"115x6-PERF.PE0","11.5x6: radius 5.75 in, 2 blades, hub radius 0.500 in","model 1.5301 in^3 with the bore cut; file quotes 1.7254 in^3"
"11x10-PERF.PE0","11x10: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.4616 in^3 with the bore cut; file quotes 1.5752 in^3"
"11x10E-PERF.PE0","11x10E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.7614 in^3 with the bore cut; file quotes 0.8642 in^3"
"11x11-PERF.PE0","11x11: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.4554 in^3 with the bore cut; file quotes 1.5597 in^3"
"11x12-PERF.PE0","11x12: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.4584 in^3 with the bore cut; file quotes 1.5702 in^3"
"11x12E-PERF.PE0","11x12E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.8653 in^3 with the bore cut; file quotes 0.9439 in^3"
"11x12W-PERF.PE0","11x12W: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.4797 in^3 with the bore cut; file quotes 1.5989 in^3"
"11x13-PERF.PE0","11x13: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3076 in^3 with the bore cut; file quotes 1.5236 in^3"
"11x13EP-PERF.PE0","11x13EP: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.8689 in^3 with the bore cut; file quotes 0.9421 in^3"
"11x14-PERF.PE0","11x14: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.2244 in^3 with the bore cut; file quotes 1.4471 in^3"
"11x3-PERF.PE0","11x3: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3505 in^3 with the bore cut; file quotes 1.5815 in^3"
"11x38SF-PERF.PE0","11x3.8SF: radius 5.50 in, 2 blades, hub radius 0.250 in","model 0.4364 in^3 with the bore cut; file quotes 0.5213 in^3"
"11x4-PERF.PE0","11x4: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3551 in^3 with the bore cut; file quotes 1.6044 in^3"
"11x45EP-PERF.PE0","11x4.5EP: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.8960 in^3 with the bore cut; file quotes 0.9381 in^3"
"11x45MR-PERF.PE0","11x4.5MR: radius 5.50 in, 2 blades, hub radius 0.320 in","model 0.6167 in^3 with the bore cut; file quotes 0.6407 in^3"
"11x46SF-PERF.PE0","11x4.6SF: radius 5.50 in, 2 blades, hub radius 0.250 in","model 0.3359 in^3 with the bore cut; file quotes 0.3879 in^3"
"11x47SF-PERF.PE0","11x4.7SF: radius 5.50 in, 2 blades, hub radius 0.250 in","model 0.4177 in^3 with the bore cut; file quotes 0.4852 in^3"
"11x5-PERF.PE0","11x5: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.2413 in^3 with the bore cut; file quotes 1.4973 in^3"
"11x55E-PERF.PE0","11x5.5E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.8071 in^3 with the bore cut; file quotes 0.8759 in^3"
"11x55MR-PERF.PE0","11x5.5MR: radius 5.50 in, 2 blades, hub radius 0.320 in","model 0.6163 in^3 with the bore cut; file quotes 0.6420 in^3"
"11x55R-RH-PERF.PE0","11x5.5R-RH: radius 5.50 in, 2 blades, hub radius 0.390 in","model 0.6021 in^3 with the bore cut; file quotes 0.7956 in^3"
"11x6-4-PERF.PE0","11x6-4: radius 5.50 in, 4 blades, hub radius 0.350 in","model 1.5104 in^3 with the bore cut; file quotes 1.4799 in^3"
"11x6-PERF.PE0","11x6: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3648 in^3 with the bore cut; file quotes 1.5554 in^3"
"11x6M-LH-PERF.PE0","11x6M-LH: radius 5.48 in, 2 blades, hub radius 0.620 in","model 1.5551 in^3 with the bore cut; file quotes 1.7926 in^3"
"11x7-PERF.PE0","11x7: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3700 in^3 with the bore cut; file quotes 1.5688 in^3"
"11x7E-3-PERF.PE0","11x7E-3: radius 5.50 in, 3 blades, hub radius 0.400 in","model 1.1172 in^3 with the bore cut; file quotes 1.1222 in^3"
"11x7E-PERF.PE0","11x7E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.7673 in^3 with the bore cut; file quotes 0.8654 in^3"
"11x7SF-PERF.PE0","11x7SF: radius 5.50 in, 2 blades, hub radius 0.250 in","model 0.4475 in^3 with the bore cut; file quotes 0.5258 in^3"
"11x8-PERF.PE0","11x8: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3709 in^3 with the bore cut; file quotes 1.5998 in^3"
"11x85E-PERF.PE0","11x8.5E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.7554 in^3 with the bore cut; file quotes 0.8532 in^3"
"11x8E-PERF.PE0","11x8E: radius 5.50 in, 2 blades, hub radius 0.400 in","model 0.7568 in^3 with the bore cut; file quotes 0.8510 in^3"
"11x8F-PERF.PE0","11x8F: radius 5.50 in, 2 blades, hub radius 0.000 in","model 0.2239 in^3 with the bore cut; file quotes 0.6503 in^3"
"11x9-4-PERF.PE0","11x9-4: radius 5.50 in, 4 blades, hub radius 0.350 in","model 1.3764 in^3 with the bore cut; file quotes 1.4277 in^3"
"11x9-PERF.PE0","11x9: radius 5.50 in, 2 blades, hub radius 0.500 in","model 1.3727 in^3 with the bore cut; file quotes 1.5666 in^3"
"1225x375-PERF.PE0","12.25x3.75: radius 6.12 in, 2 blades, hub radius 0.500 in","model 1.3848 in^3 with the bore cut; file quotes 1.6021 in^3"
