folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
21x13E,21x13E-PERF.PE0,hub and blades,13.42,2,21.0,13.0,0.4437,0.375,3.6516,4.0108,-9.0,101.73,E63 to APC12
21x13WE,21x13WE-PERF.PE0,hub and blades,13.43,2,21.0,13.0,0.44,0.375,4.3903,4.7246,-7.1,122.31,E63 to APC12
22x10,22x10-PERF.PE0,hub and blades,13.39,2,22.0,10.0573,0.58,0.5,8.0467,8.3795,-4.0,224.17,CLARK-Y
22x10E,22x10E-PERF.PE0,hub and blades,13.61,2,22.0,10.0,0.46,0.375,4.4747,4.8064,-6.9,124.66,E63 to APC12
22x12E,22x12E-PERF.PE0,hub and blades,13.65,2,22.0,12.0,0.455,0.375,4.4496,4.7909,-7.1,123.96,E63 to APC12
22x12WE,22x12WE-PERF.PE0,hub and blades,13.59,2,22.0,12.0,0.485,0.375,5.4471,5.8434,-6.8,151.74,E63 to APC12
22x13EPN,22x13EPN-PERF.PE0,hub and blades,13.42,2,22.0,13.0027,0.375,0.375,3.8777,4.1068,-5.6,108.03,E66 to APC12
22x8,22x8-PERF.PE0,hub and blades,13.41,2,22.0,8.0,0.56,0.5,7.9616,8.2625,-3.6,221.8,CLARK-Y
24x12E,24x12E-PERF.PE0,hub and blades,13.59,2,24.0,12.0,0.495,0.375,5.5383,5.9245,-6.5,154.29,E63 to APC12
25x12.5E,25x125E-PERF.PE0,hub and blades,13.5,2,25.0,12.5,0.4799,0.375,7.4178,8.2175,-9.7,206.65,E63 to APC12
26x13E,26x13E-PERF.PE0,hub and blades,13.67,2,26.0,13.0,0.465,0.5,7.0596,7.4431,-5.2,196.67,E63 to APC12
26x15E,26x15E-PERF.PE0,hub and blades,13.46,2,26.0,15.0,0.48,0.5,7.1236,7.5428,-5.6,198.45,E63 to APC12
27x13E,27x13E-PERF.PE0,hub and blades,13.67,2,27.0,13.0,0.5,0.5,7.8961,8.3289,-5.2,219.97,E63 to APC12
28x20-4,28x20-4-PERF.PE0,hub and blades,29.47,4,27.8,20.0,0.0028,0.5,21.2531,23.9118,-11.1,463.21,APC12
4.1x4.1E,41x41E-PERF.PE0,hub and blades,12.09,2,4.1,4.1,0.1514,0.25,0.0775,0.1042,-25.6,2.16,E63 to APC12
4.2x2,42x2-PERF.PE0,hub and blades,12.15,2,4.183,2.0,0.1057,0.25,0.0787,0.1089,-27.8,2.19,CLARK-Y
4.2x4,42x4-PERF.PE0,hub and blades,12.16,2,4.183,4.0,0.129,0.25,0.0923,0.119,-22.4,2.57,CLARK-Y
4.4x4,44x4-PERF.PE0,hub and blades,12.13,2,4.375,4.4728,0.1267,0.25,0.1175,0.1464,-19.7,3.27,CLARK-Y
4.5x3.5,45x35-PERF.PE0,hub and blades,11.87,2,4.5,3.5,0.129,0.25,0.124,0.1522,-18.6,3.45,CLARK-Y
4.5x4,45x4-PERF.PE0,hub and blades,12.03,2,4.5,4.0,0.129,0.25,0.1236,0.1532,-19.3,3.44,CLARK-Y
4.5x4.1E,45x41E-PERF.PE0,hub and blades,12.16,2,4.5,4.1,0.1514,0.25,0.0931,0.1189,-21.7,2.59,E63 to APC12
4.6x3,46x3-PERF.PE0,hub and blades,12.06,2,4.625,3.0,0.1677,0.25,0.1457,0.1669,-12.7,4.06,CLARK-Y
4.75x4,475x4-PERF.PE0,hub and blades,12.08,2,4.75,4.0,0.1677,0.25,0.1502,0.1719,-12.6,4.18,CLARK-Y
4.75x4.5E,475x45E-PERF.PE0,hub and blades,12.43,2,4.75,4.5,0.1172,0.25,0.0822,0.1162,-29.3,2.29,E63 to APC12
4.75x4.75E,475x475E-PERF.PE0,hub and blades,12.44,2,4.75,4.75,0.1172,0.25,0.0802,0.1144,-29.9,2.23,E63 to APC12
4.75x5.5E,475x55E-PERF.PE0,hub and blades,12.47,2,4.75,5.5,0.1186,0.25,0.0857,0.1197,-28.4,2.39,E63 to APC12
4.7x4.2E,47x42E-PERF.PE0,hub and blades,12.57,2,4.75,4.25,0.0672,0.25,0.0651,0.0964,-32.5,1.81,E63 to APC12
4x3.3E,4x33E-PERF.PE0,hub and blades,12.03,2,4.0,3.5496,0.1012,0.25,0.0723,0.1003,-28.0,2.01,E63 to APC12
4x4.5E,4x45E-PERF.PE0,hub and blades,12.07,2,4.0,4.5004,0.1184,0.25,0.0829,0.1116,-25.7,2.31,E63 to APC12
4x4E-3,4x4E-3-PERF.PE0,hub and blades,18.34,3,4.0,4.3013,0.0871,0.25,0.1121,0.1335,-16.0,3.12,E63 to APC12
5.1x4.5E,51x45E-PERF.PE0,hub and blades,12.63,2,5.1,4.5,0.0507,0.25,0.1071,0.1653,-35.2,2.98,E63
5.1x5.0E,51x50E-PERF.PE0,hub and blades,12.39,2,5.1,5.0035,0.0973,0.25,0.1017,0.1281,-20.6,2.83,E63 to APC12
5.1x5.0E-3,51x50E-3-PERF.PE0,hub and blades,19.5,3,5.1,5.0035,0.0772,0.25,0.1391,0.1807,-23.0,3.88,E63 to APC12
5.25x4.75E,525x475E-PERF.PE0,hub and blades,12.52,2,5.25,4.75,0.0672,0.25,0.0853,0.1313,-35.0,2.38,E63 to APC12
5.25x5.5E,525x55E-PERF.PE0,hub and blades,12.52,2,5.25,5.5,0.0672,0.25,0.0855,0.1315,-35.0,2.38,E63 to APC12
5.25x6.25E,525x625E-PERF.PE0,hub and blades,12.53,2,5.25,6.25,0.0672,0.25,0.0855,0.1315,-35.0,2.38,E63 to APC12
5.25x8E,525x8E-PERF.PE0,hub and blades,12.4,2,5.25,8.0,0.0886,0.25,0.1128,0.1567,-28.0,3.14,E63 to APC12
5.2x6.0E,52x60E-PERF.PE0,hub and blades,12.54,2,5.2,6.007,0.0973,0.25,0.1024,0.1288,-20.5,2.85,E63 to APC12
5.3x5.9E,53x59E-PERF.PE0,hub and blades,12.91,2,5.3,5.9,0.0793,0.25,0.0927,0.1448,-35.9,2.58,E63 to APC12
5.5x2,55x2-PERF.PE0,hub and blades,12.28,2,5.5,2.0,0.1718,0.25,0.1951,0.2281,-14.5,5.43,CLARK-Y
5.5x2.5,55x25-PERF.PE0,hub and blades,12.26,2,5.5,2.5,0.1718,0.25,0.1963,0.2307,-14.9,5.47,CLARK-Y
5.5x4.5E,55x45E-PERF.PE0,hub and blades,12.81,2,5.5,4.5,0.0672,0.25,0.0944,0.1483,-36.3,2.63,E63 to APC12
5.5x4.7E,55x47E-PERF.PE0,hub and blades,12.82,2,5.5,4.7,0.0672,0.25,0.0944,0.1482,-36.3,2.63,E63 to APC12
5.5x6.5E,55x65E-PERF.PE0,hub and blades,12.67,2,5.5,6.5,0.0528,0.25,0.0951,0.1482,-35.9,2.65,E63 to APC12
5.5x7.0,55x70-PERF.PE0,hub and blades,12.41,2,5.5,7.0,0.29,0.25,0.2552,0.2775,-8.0,7.11,CLARK-Y
5.7x3,57x3-PERF.PE0,hub and blades,12.71,2,5.7,3.0,0.175,0.25,0.1671,0.1751,-4.6,4.65,CLARK-Y
5x11E,5x11E-PERF.PE0,hub and blades,12.48,2,5.0,11.0,0.0784,0.25,0.0955,0.1464,-34.8,2.66,E63 to APC12
5x3,5x3-PERF.PE0,hub and blades,12.15,2,5.0,3.0,0.1677,0.25,0.1723,0.1958,-12.0,4.8,CLARK-Y
5x3.7E-3,5x37E-3-PERF.PE0,hub and blades,19.13,3,5.0,3.7995,0.1141,0.25,0.1944,0.2109,-7.8,3.82,E63 to APC12
5x3E,5x3E-PERF.PE0,hub and blades,12.48,2,5.0,3.0,0.075,0.25,0.0893,0.1217,-26.6,2.49,E63 to APC12
5x4.1SF,5x41SF-PERF.PE0,hub and blades,12.59,2,5.0,4.1,0.0564,0.25,0.0476,0.0635,-25.1,1.33,E63 to APC12
5x4.3E,5x43E-PERF.PE0,hub and blades,12.43,2,5.0,4.6,0.1485,0.25,0.134,0.1711,-21.7,3.73,E63 to APC12
5x4.5E,5x45E-PERF.PE0,hub and blades,12.39,2,5.0,4.6,0.1184,0.25,0.1275,0.1702,-25.1,3.55,E63 to APC12
5x4.6E,5x46E-PERF.PE0,hub and blades,12.38,2,5.0,4.7,0.1184,0.25,0.145,0.1934,-25.0,4.04,E63 to APC12
5x4E-3,5x4E-3-PERF.PE0,hub and blades,18.94,3,5.0,4.5011,0.0896,0.25,0.1866,0.2445,-23.7,5.2,E63 to APC12
5x4E-4,5x4E-4-PERF.PE0,hub and blades,26.11,4,5.0,4.2001,0.0689,0.25,0.1748,0.2084,-16.1,4.87,E63 to APC12
5x4R-RH,5x4R-RH-PERF.PE0,hub and blades,12.1,2,5.0,4.101,0.0516,0.25,0.109,0.1386,-21.3,3.04,APC16009R
5x5E,5x5E-PERF.PE0,hub and blades,12.53,2,5.0,5.0,0.075,0.25,0.0885,0.1226,-27.8,2.47,E63 to APC12
5x5F,5x5F-PERF.PE0,"one blade, no hub",9.48,1,5.0,5.0,,,0.0123,0.0414,,0.34,E63 to APC12
5x7.5E,5x75E-PERF.PE0,hub and blades,12.42,2,5.0,7.5,0.0886,0.25,0.1,0.1433,-30.2,2.78,E63 to APC12
6.3x4,63x4-PERF.PE0,hub and blades,12.48,2,6.25,4.0,0.325,0.25,0.3336,0.3451,-3.3,9.29,CLARK-Y
6.5x2.9,65x29-PERF.PE0,hub and blades,12.81,2,6.5,2.9,0.3413,0.25,0.3442,0.3548,-3.0,9.59,CLARK-Y
6.5x3.7,65x37-PERF.PE0,hub and blades,12.78,2,6.5,3.75,0.385,0.25,0.3798,0.3951,-3.9,10.58,CLARK-Y
6.5x5.0,65x50-PERF.PE0,hub and blades,12.71,2,6.5,5.0,0.29,0.25,0.3426,0.3584,-4.4,9.54,CLARK-Y
6.5x5.5,65x55-PERF.PE0,hub and blades,12.71,2,6.5,5.5,0.29,0.25,0.3435,0.3585,-4.2,9.57,CLARK-Y
6.5x6.0,65x60-PERF.PE0,hub and blades,12.73,2,6.5,6.0,0.29,0.25,0.3448,0.3587,-3.9,9.61,CLARK-Y
6.5x6.5,65x65-PERF.PE0,hub and blades,12.73,2,6.5,6.5,0.29,0.25,0.3459,0.3588,-3.6,9.64,CLARK-Y
6.5x7.0,65x70-PERF.PE0,hub and blades,12.81,2,6.5,7.0,0.29,0.25,0.3448,0.3592,-4.0,9.61,CLARK-Y
6.5x7.5,65x75-PERF.PE0,hub and blades,12.71,2,6.5,7.5,0.285,0.25,0.3414,0.3576,-4.5,9.51,CLARK-Y
6x2,6x2-PERF.PE0,hub and blades,12.65,2,6.0,2.0,0.149,0.25,0.1916,0.2327,-17.6,5.34,CLARK-Y
6x3,6x3-PERF.PE0,hub and blades,12.74,2,6.0,3.0,0.162,0.25,0.2145,0.2502,-14.3,5.97,CLARK-Y
6x3.1SF,6x31SF-PERF.PE0,hub and blades,12.77,2,6.0,3.1,0.0627,0.25,0.0712,0.0871,-18.3,1.98,E63 to APC12
6x3F,6x3F-PERF.PE0,"one blade, no hub",10.73,1,6.0,4.0,,,0.0224,0.0537,,0.62,E63 to APC12
6x3R-RH,6x3R-RH-PERF.PE0,hub and blades,12.54,2,6.0,3.5009,0.0492,0.25,0.1178,0.1527,-22.8,3.28,APC16009R
6x4,6x4-PERF.PE0,hub and blades,12.63,2,6.0,4.0,0.15,0.25,0.176,0.1902,-7.5,4.9,CLARK-Y
6x4.1SF,6x41SF-PERF.PE0,hub and blades,12.74,2,6.0,4.1,0.0627,0.25,0.0711,0.0879,-19.1,1.98,E63 to APC12
6x4.2E-3,6x42E-3-PERF.PE0,hub and blades,19.46,3,6.0,4.2005,0.111,0.25,0.2336,0.2616,-10.7,4.59,E63 to APC12
6x4.5E,6x45E-PERF.PE0,hub and blades,12.92,2,6.0,4.7002,0.175,0.25,0.2338,0.2802,-16.6,6.51,E63 to APC12
6x4E,6x4E-PERF.PE0,hub and blades,12.81,2,6.0,4.0,0.0672,0.25,0.114,0.16,-28.7,3.18,E63 to APC12
6x5,6x5-PERF.PE0,hub and blades,12.44,2,6.0,5.0,0.25,0.25,0.2378,0.2531,-6.0,6.62,CLARK-Y
6x5.5E,6x55E-PERF.PE0,hub and blades,12.77,2,6.0,5.5,0.0672,0.25,0.1194,0.1769,-32.5,3.33,E63 to APC12
6x6E,6x6E-PERF.PE0,hub and blades,12.74,2,6.0,6.0,0.0672,0.25,0.1191,0.1769,-32.7,3.32,E63 to APC12
7.4x7.5C,74x75C-PERF.PE0,hub and blades,12.81,2,7.4,7.7355,0.2835,0.25,0.5368,0.6792,-21.0,14.96,CLARK-Y
7.4x7.6C,74x76C-PERF.PE0,hub and blades,12.83,2,7.4,7.8762,0.2835,0.25,0.5364,0.6791,-21.0,11.87,CLARK-Y
7.4x7.7C,74x77C-PERF.PE0,hub and blades,12.83,2,7.4,7.966,0.2835,0.25,0.5361,0.679,-21.1,14.93,CLARK-Y
7.8x4,78x4-PERF.PE0,hub and blades,12.72,2,8.0,3.758,0.35,0.25,0.656,0.6568,-0.1,18.28,CLARK-Y
7.8x6,78x6-PERF.PE0,hub and blades,12.85,2,7.8,6.0,0.2278,0.25,0.616,0.8482,-27.4,17.16,CLARK-Y
7.8x7,78x7-PERF.PE0,hub and blades,12.91,2,7.8,7.0,0.2278,0.25,0.614,0.851,-27.8,17.11,CLARK-Y
7x10,7x10-PERF.PE0,hub and blades,12.95,2,7.0,10.0,0.307,0.25,0.3539,0.3934,-10.1,9.86,CLARK-Y
7x11E,7x11E-PERF.PE0,hub and blades,12.69,2,7.0,11.0,0.204,0.25,0.275,0.3547,-22.5,7.66,E63 to APC12
7x15E,7x15E-PERF.PE0,hub and blades,12.67,2,7.0,14.7,0.25,0.25,0.3077,0.3458,-11.0,8.57,E66 to APC12
7x3,7x3-PERF.PE0,hub and blades,13.08,2,7.0,2.7559,0.28,0.25,0.3729,0.387,-3.7,10.39,CLARK-Y
7x3.8WSF,7x38WSF-PERF.PE0,hub and blades,12.74,2,7.0,3.8,0.04,0.25,0.183,0.2418,-24.3,5.1,E63 to APC12
7x4.1SF,7x41SF-PERF.PE0,hub and blades,13.08,2,7.0,4.2,0.0628,0.25,0.1037,0.1229,-15.6,2.89,E63 to APC12
7x4E,7x4E-PERF.PE0,hub and blades,12.59,2,7.0,4.0,0.275,0.25,0.273,0.3022,-9.7,7.6,E63 to APC12
7x4F,7x4F-PERF.PE0,"one blade, no hub",9.87,1,7.0,4.0,,,0.0317,0.091,,0.88,E63 to APC12
7x4SF,7x4SF-PERF.PE0,hub and blades,13.06,2,7.0,4.0,0.0515,0.25,0.1288,0.1744,-26.2,3.59,E63
7x5,7x5-PERF.PE0,hub and blades,12.85,2,7.0,5.0,0.1741,0.25,0.3317,0.3759,-11.8,9.24,CLARK-Y
7x5E,7x5E-PERF.PE0,hub and blades,12.64,2,7.0,5.0,0.275,0.25,0.2719,0.302,-10.0,7.57,E63 to APC12
7x5SF,7x5SF-PERF.PE0,hub and blades,13.07,2,7.0,5.0,0.0408,0.25,0.1349,0.1827,-26.2,3.76,E63
7x6,7x6-PERF.PE0,hub and blades,12.7,2,7.0,6.0,0.2463,0.25,0.3722,0.4201,-11.4,10.37,CLARK-Y
7x6E,7x6E-PERF.PE0,hub and blades,12.61,2,7.0,6.0,0.27,0.25,0.2712,0.3004,-9.7,7.56,E63 to APC12
7x6F,7x6F-PERF.PE0,"one blade, no hub",10.03,1,7.0,6.0,,,0.0317,0.0912,,0.88,E63 to APC12
7x6SF,7x6SF-PERF.PE0,hub and blades,12.81,2,7.0,6.0,0.0515,0.25,0.1322,0.186,-28.9,3.68,E63
7x6W,7x6W-PERF.PE0,hub and blades,12.63,2,7.0,6.0,0.2177,0.25,0.3561,0.4554,-21.8,9.92,CLARK-Y
7x7,7x7-PERF.PE0,hub and blades,12.85,2,7.0,7.0,0.307,0.25,0.3688,0.3982,-7.4,10.28,CLARK-Y
7x7E,7x7E-PERF.PE0,hub and blades,12.62,2,7.0,7.0,0.27,0.25,0.2702,0.3001,-9.9,7.53,E63 to APC12
7x8,7x8-PERF.PE0,hub and blades,12.43,2,7.0,8.0,0.2116,0.25,0.3738,0.4431,-15.6,10.41,CLARK-Y
7x9,7x9-PERF.PE0,hub and blades,12.98,2,7.0,9.0,0.307,0.25,0.3546,0.3925,-9.7,9.88,CLARK-Y
7x9E,7x9E-PERF.PE0,hub and blades,12.66,2,7.0,8.5,0.204,0.25,0.2767,0.3561,-22.3,7.71,E63 to APC12
8.625x3.75,8625x375-PERF.PE0,hub and blades,13.16,2,8.625,3.75,0.199,0.25,0.4767,0.6411,-25.6,13.28,CLARK-Y
8.75x5.0,875x50-PERF.PE0,hub and blades,12.9,2,8.75,5.0,0.4175,0.25,0.9199,0.9336,-1.5,25.63,CLARK-Y
8.75x7.0N,875x70N-PERF.PE0,hub and blades,12.78,2,8.75,7.0,0.1927,0.25,0.7419,1.0151,-26.9,20.67,CLARK-Y
8.75x7.5N,875x75N-PERF.PE0,hub and blades,12.77,2,8.75,7.5,0.1927,0.25,0.7407,1.0148,-27.0,20.64,CLARK-Y
8.75x7.5NN,875x75NN-PERF.PE0,hub and blades,12.77,2,8.75,7.5,0.1927,0.25,0.6138,0.8727,-29.7,17.1,CLARK-Y
8.75x7.5W,875x75W-PERF.PE0,hub and blades,12.8,2,8.75,13.3986,0.1927,0.25,0.616,0.8767,-29.7,17.16,CLARK-Y
8.75x7.75NN,875x775NN-PERF.PE0,hub and blades,12.84,2,8.75,7.75,0.1927,0.25,0.6141,0.8727,-29.6,17.11,CLARK-Y
8.75x8.0NN,875x80NN-PERF.PE0,hub and blades,12.56,2,8.75,11.0861,0.1927,0.25,0.6132,0.8727,-29.7,17.08,CLARK-Y
8.75x8.25NN,875x825NN-PERF.PE0,hub and blades,12.75,2,8.75,8.25,0.1927,0.25,0.6149,0.8729,-29.6,17.13,CLARK-Y
8.75x8.5N,875x85N-PERF.PE0,hub and blades,12.85,2,8.75,8.5,0.1927,0.25,0.7386,1.0002,-26.2,20.58,CLARK-Y
8.75x8.75NN,875x875NN-PERF.PE0,hub and blades,12.78,2,8.75,8.75,0.1927,0.25,0.613,0.8722,-29.7,17.08,CLARK-Y
8.75x8.75W,875x875W-PERF.PE0,hub and blades,12.8,2,8.75,8.75,0.1927,0.25,0.6168,0.8768,-29.6,17.18,CLARK-Y
8.75x9.0NN,875x90NN-PERF.PE0,hub and blades,12.78,2,8.75,9.0,0.1927,0.25,0.6133,0.8723,-29.7,17.09,CLARK-Y
8.75x9.0W,875x90W-PERF.PE0,hub and blades,12.82,2,8.75,11.0385,0.1815,0.25,0.6069,0.8753,-30.7,16.91,CLARK-Y
8.75x9.25NN,875x925NN-PERF.PE0,hub and blades,12.81,2,8.75,12.4846,0.1927,0.25,0.6124,0.8719,-29.8,17.06,CLARK-Y
8.75x9.25W,875x925W-PERF.PE0,hub and blades,12.82,2,8.75,9.6649,0.1815,0.25,0.6073,0.8755,-30.6,16.92,CLARK-Y
8.8x8.5,88x85-PERF.PE0,hub and blades,12.79,2,8.77,8.806,0.1927,0.25,0.6207,0.881,-29.5,17.29,CLARK-Y
8.8x8.75,88x875-PERF.PE0,hub and blades,12.94,2,8.77,8.75,0.2238,0.25,0.6573,0.8959,-26.6,18.31,CLARK-Y
8.8x8.9,88x89-PERF.PE0,hub and blades,12.74,2,8.77,15.522,0.3591,0.25,0.7177,0.8741,-17.9,19.99,CLARK-Y
8.8x9.0,88x90-PERF.PE0,hub and blades,12.69,2,8.77,9.0,0.6228,0.25,0.9265,0.8855,4.6,25.81,CLARK-Y
8.8x9.25,88x925-PERF.PE0,hub and blades,12.93,2,8.77,9.25,0.2238,0.25,0.6587,0.8969,-26.6,18.35,CLARK-Y
8.8x9.5,88x95-PERF.PE0,hub and blades,12.74,2,8.74,9.5,0.1927,0.25,0.6212,0.8807,-29.5,17.31,CLARK-Y
8.8x9.75,88x975-PERF.PE0,hub and blades,12.84,2,8.73,9.5,0.1927,0.25,0.6211,0.8806,-29.5,17.3,CLARK-Y
8x10,8x10-PERF.PE0,hub and blades,12.66,2,8.0,10.0,0.325,0.25,0.5926,0.621,-4.6,16.51,CLARK-Y
8x10E,8x10E-PERF.PE0,hub and blades,12.42,2,8.0,10.0,0.3474,0.25,0.5007,0.5161,-3.0,13.95,E63 to APC12
8x3.75,8x375-PERF.PE0,hub and blades,13.03,2,8.0,3.75,0.1882,0.25,0.4132,0.5555,-25.6,11.51,CLARK-Y
8x3.7SFR,8x37SFR-PC-PERF.PE0,hub and blades,12.66,2,8.0,3.7,0.061,0.25,0.2383,0.2762,-13.7,4.69,APC16009R
8x3.8SF,8x38SF-PERF.PE0,hub and blades,13.07,2,8.0,3.8,0.0469,0.25,0.182,0.2394,-24.0,5.07,E63 to APC12
8x4,8x4-PERF.PE0,hub and blades,12.67,2,8.0,4.0,0.3277,0.25,0.5539,0.584,-5.2,15.43,CLARK-Y
8x4.1SF,8x41SF-PERF.PE0,hub and blades,12.83,2,8.0,4.2,0.0578,0.25,0.1307,0.1541,-15.2,3.64,E63 to APC12
8x4.2SFR,8x42SFR-PERF.PE0,hub and blades,12.68,2,8.0,4.2,0.0452,0.25,0.1384,0.1669,-17.1,3.86,APC16006R
8x4.5MR,8x45MR-PERF.PE0,hub and blades,12.6,2,8.0,4.5,0.3094,0.25,0.2984,0.3028,-1.4,8.31,E63 to APC12
8x4.7SF,8x47SF-PERF.PE0,hub and blades,12.94,2,8.0,4.7,0.0469,0.25,0.1823,0.2358,-22.7,5.08,E63 to APC12
8x4E,8x4E-PERF.PE0,hub and blades,12.5,2,8.0,4.0,0.3255,0.25,0.4821,0.4923,-2.1,13.43,E63 to APC12
8x4F,8x4F-PERF.PE0,"one blade, no hub",5.33,1,8.0,4.0,,,0.0523,0.1192,,1.46,E63 to APC12
8x5,8x5-PERF.PE0,hub and blades,12.76,2,8.0,5.0,0.38,0.25,0.6682,0.6788,-1.6,18.61,CLARK-Y
8x6,8x6-PERF.PE0,hub and blades,12.7,2,8.0,6.0,0.325,0.25,0.6256,0.6462,-3.2,17.43,CLARK-Y
8x6E,8x6E-PERF.PE0,hub and blades,12.43,2,8.0,6.0,0.3067,0.25,0.4658,0.4975,-6.4,12.98,E63 to APC12
8x6SF,8x6SF-PERF.PE0,hub and blades,13.0,2,8.0,6.0,0.0504,0.25,0.1808,0.2316,-21.9,5.04,E63
8x7,8x7-PERF.PE0,hub and blades,12.71,2,8.0,7.0,0.375,0.25,0.667,0.6833,-2.4,18.58,CLARK-Y
8x7.3,8x73-PERF.PE0,hub and blades,12.84,2,8.0,7.75,0.443,0.25,0.8548,0.8654,-1.2,23.81,CLARK-Y
8x8,8x8-PERF.PE0,hub and blades,12.65,2,8.0,8.0,0.375,0.25,0.6642,0.684,-2.9,18.5,CLARK-Y
8x8E,8x8E-PERF.PE0,hub and blades,12.36,2,8.0,8.0,0.3474,0.25,0.4999,0.5264,-5.0,13.93,E63 to APC12
8x9,8x9-PERF.PE0,hub and blades,12.64,2,8.0,9.0,0.3141,0.25,0.5869,0.6338,-7.4,16.35,CLARK-Y
9.25x6.0,925x60-PERF.PE0,hub and blades,12.92,2,9.25,6.0,0.33,0.25,0.5596,0.5757,-2.8,15.59,CLARK-Y
9.3x3,93x3-PERF.PE0,hub and blades,12.96,2,9.3,3.0,0.3167,0.375,0.8167,0.9007,-9.3,22.75,CLARK-Y
9.5x4.5,95x45-PERF.PE0,hub and blades,12.89,2,9.5,4.5,0.3596,0.375,0.874,0.9692,-9.8,24.35,CLARK-Y
9.5x5MR,95x5MR-PERF.PE0,hub and blades,13.24,2,9.5,5.2527,0.23,0.25,0.4137,0.4314,-4.1,11.53,E63 to APC12
9.5x6,95x6-PERF.PE0,hub and blades,12.83,2,9.5,5.9964,0.4262,0.25,0.9393,0.9399,-0.1,26.17,CLARK-Y
9.5x7.5N,95x75N-PERF.PE0,hub and blades,12.76,2,9.5,7.5,0.4419,0.25,0.9157,0.9963,-8.1,25.51,CLARK-Y
9.5x7N,95x7N-PERF.PE0,hub and blades,12.71,2,9.5,7.0,0.4419,0.25,0.9297,1.0057,-7.6,25.9,CLARK-Y
9.625x3.75N,9625x375N-PERF.PE0,hub and blades,12.66,2,9.625,3.75,0.2125,0.25,0.6343,0.8734,-27.4,17.67,CLARK-Y
9x10,9x10-PERF.PE0,hub and blades,13.04,2,9.0,10.0,0.355,0.25,0.6996,0.721,-3.0,19.49,CLARK-Y
9x3,9x3-PERF.PE0,hub and blades,12.94,2,9.0,3.0,0.3167,0.375,0.8104,0.8944,-9.4,22.58,CLARK-Y
9x3.7SF,9x37SF-PERF.PE0,hub and blades,12.84,2,9.0,3.8,0.0582,0.25,0.1501,0.1758,-14.6,4.18,E63 to APC12
9x3.8SF,9x38SF-PERF.PE0,hub and blades,12.75,2,9.0,3.8,0.0468,0.25,0.2466,0.3097,-20.4,6.87,E63 to APC12
9x3.9SFR,9x39SFR-PC-PERF.PE0,hub and blades,12.59,2,9.0,3.9,0.0606,0.25,0.329,0.3718,-11.5,6.47,APC16009R
9x3N,9x3N-PERF.PE0,hub and blades,13.17,2,9.0,3.0,0.265,0.25,0.4939,0.5339,-7.5,13.76,CLARK-Y
9x4,9x4-PERF.PE0,hub and blades,12.98,2,9.0,4.0,0.37,0.25,0.7993,0.8056,-0.8,22.27,CLARK-Y
9x4.1SF,9x41SF-PERF.PE0,hub and blades,12.77,2,9.0,4.2,0.0585,0.25,0.151,0.1758,-14.1,4.21,E63 to APC12
9x4.4SFR,9x44SFR-PERF.PE0,hub and blades,12.66,2,9.0,4.4,0.0452,0.25,0.1942,0.2274,-14.6,5.41,APC16006R
9x4.5E,9x45E-PERF.PE0,hub and blades,12.91,2,9.0,4.5,0.315,0.25,0.6124,0.6402,-4.3,17.06,E63 to APC12
9x4.5MR,9x45MR-PERF.PE0,hub and blades,13.03,2,9.0,4.5,0.3092,0.25,0.3865,0.3923,-1.5,10.77,E63 to APC12
9x4.5MRF-RH,9x45MRF-RH-PERF.PE0,"one blade, no hub",12.25,1,9.0,4.7,,,0.1201,0.1696,,3.35,E63 to APC12
9x4.5R-RH,9x45R-RH-PERF.PE0,hub and blades,12.86,2,9.0,5.0001,0.0486,0.25,0.3681,0.4627,-20.5,10.25,APC16009R
9x4.6SF,9x46SF-PERF.PE0,hub and blades,12.8,2,9.0,4.7,0.0585,0.25,0.1509,0.1763,-14.4,4.2,E63 to APC12
9x4.7SF,9x47SF-PERF.PE0,hub and blades,12.84,2,9.0,4.7,0.0468,0.25,0.2458,0.3042,-19.2,6.85,E63 to APC12
9x4M-LH,9x4M-LH-PERF.PE0,hub and blades,12.83,2,8.96,4.0,0.3581,0.375,0.9906,1.1188,-11.5,27.6,CLARK-Y
9x5,9x5-PERF.PE0,hub and blades,12.93,2,9.0,4.9978,0.3882,0.25,0.7559,0.7905,-4.4,21.06,CLARK-Y
9x5F,9x5F-PERF.PE0,"one blade, no hub",11.18,1,9.0,5.0,,,0.1009,0.2186,,2.81,E63 to APC12
9x5M-JK,9x5M-JK-PERF.PE0,hub and blades,12.85,2,9.0,5.0,0.3312,0.375,0.9479,1.0816,-12.4,26.41,APC12
9x6,9x6-PERF.PE0,hub and blades,12.91,2,9.0,5.9969,0.3882,0.25,0.7577,0.7951,-4.7,21.11,CLARK-Y
9x6-4,9x6-4-PERF.PE0,hub and blades,25.01,4,9.0,6.1017,0.2537,0.25,0.745,0.8749,-14.9,20.75,CLARK-Y
9x6.5,9x65-PERF.PE0,hub and blades,13.02,2,9.0,6.5,0.42,0.25,1.0216,1.0427,-2.0,28.46,CLARK-Y
9x6E,9x6E-PERF.PE0,hub and blades,13.19,2,9.0,6.0,0.2384,0.25,0.5627,0.6444,-12.7,15.68,E63 to APC12
