folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
13x4E,13x4E-PERF.PE0,hub and blades,13.22,2,12.95,4.0,0.35,0.25,1.0655,1.1026,-3.4,29.68,E63 to APC12
13x4W,13x4W-PERF.PE0,hub and blades,13.17,2,13.0,4.2801,0.2139,0.375,1.5192,1.7106,-11.2,42.32,CLARK-Y
13x5.5E,13x55E-PERF.PE0,hub and blades,13.44,2,12.95,5.5,0.35,0.25,1.152,1.1847,-2.8,32.09,E63 to APC12
13x5.5MR,13x55MR-PERF.PE0,hub and blades,13.54,2,12.95,5.5,0.3373,0.25,0.8523,0.8803,-3.2,23.74,E63 to APC12
13x5.5MRF-RH,13x55MRF-RH-PERF.PE0,"one blade, no hub",12.58,1,13.0,5.501,,,0.3414,0.4571,,9.51,E63 to APC12
13x6,13x6-PERF.PE0,hub and blades,13.05,2,12.96,6.0,0.387,0.375,1.7199,1.7832,-3.5,47.91,CLARK-Y
13x6.5E,13x65E(F2B)-PERF.PE0,hub and blades,13.12,2,12.95,6.5,0.285,0.25,0.8865,0.91,-2.6,24.69,E63 to APC12
13x7,13x7-PERF.PE0,hub and blades,13.21,2,13.0,7.0,0.387,0.375,1.7175,1.7862,-3.8,47.85,CLARK-Y
13x7F,13x7F-PERF.PE0,"one blade, no hub",11.94,1,13.0,7.0,,,0.3568,0.5782,,9.94,E63 to APC12
13x8,13x8-PERF.PE0,hub and blades,13.04,2,12.95,8.0,0.387,0.375,1.7199,1.7949,-4.2,47.91,CLARK-Y
13x8E,13x8E-PERF.PE0,hub and blades,13.04,2,12.95,8.0,0.325,0.25,1.0707,1.129,-5.2,29.83,E63 to APC12
13x9,13x9-PERF.PE0,hub and blades,13.17,2,12.95,9.0,0.487,0.375,2.3028,2.3484,-1.9,64.15,CLARK-Y
14x10,14x10-PERF.PE0,hub and blades,13.11,2,14.0,10.0,0.51,0.375,2.6231,2.7022,-2.9,73.07,CLARK-Y
14x10E,14x10E-PERF.PE0,hub and blades,13.32,2,14.0,10.0,0.333,0.25,1.212,1.2734,-4.8,33.76,E63 to APC12
14x10F,14x10F-PERF.PE0,"one blade, no hub",11.9,1,13.85,10.0,,,0.4502,0.6983,,12.54,E63 to APC12
14x11,14x11-PERF.PE0,hub and blades,13.12,2,14.0,11.0,0.48,0.375,2.5781,2.6694,-3.4,71.82,CLARK-Y
14x12,14x12-PERF.PE0,hub and blades,13.11,2,14.0,12.0,0.525,0.375,2.6601,2.7485,-3.2,74.11,CLARK-Y
14x12E,14x12E-PERF.PE0,hub and blades,13.31,2,14.0,12.0,0.35,0.25,1.2319,1.2946,-4.8,34.32,E63 to APC12
14x12N,14x12N-PERF.PE0,hub and blades,13.18,2,14.0,12.0,0.5047,0.375,2.225,2.3826,-6.6,61.98,CLARK-Y
14x13,14x13-PERF.PE0,hub and blades,13.17,2,14.0,13.0,0.543,0.375,2.4013,2.4528,-2.1,66.9,CLARK-Y
14x13.5,14x135-PERF.PE0,hub and blades,13.16,2,14.0,13.5,0.543,0.375,2.3758,2.4326,-2.3,66.18,CLARK-Y
